n_episode : 1, Total Frames : 58, Average Score : 150.0, Episode Score : 150.0, Best Score : 150.0, n_buffer : 58, eps : 100.0%
n_episode : 2, Total Frames : 111, Average Score : 105.0, Episode Score : 60.0, Best Score : 150.0, n_buffer : 111, eps : 99.9%
n_episode : 3, Total Frames : 144, Average Score : 100.0, Episode Score : 90.0, Best Score : 150.0, n_buffer : 144, eps : 99.9%
n_episode : 4, Total Frames : 183, Average Score : 90.0, Episode Score : 60.0, Best Score : 150.0, n_buffer : 183, eps : 99.9%
n_episode : 5, Total Frames : 216, Average Score : 82.0, Episode Score : 50.0, Best Score : 150.0, n_buffer : 216, eps : 99.8%
n_episode : 6, Total Frames : 252, Average Score : 90.0, Episode Score : 130.0, Best Score : 150.0, n_buffer : 252, eps : 99.8%
n_episode : 7, Total Frames : 310, Average Score : 100.0, Episode Score : 160.0, Best Score : 160.0, n_buffer : 310, eps : 99.8%
n_episode : 8, Total Frames : 365, Average Score : 105.0, Episode Score : 140.0, Best Score : 160.0, n_buffer : 365, eps : 99.7%
n_episode : 9, Total Frames : 428, Average Score : 111.1, Episode Score : 160.0, Best Score : 160.0, n_buffer : 428, eps : 99.6%
n_episode : 10, Total Frames : 472, Average Score : 108.0, Episode Score : 80.0, Best Score : 160.0, n_buffer : 472, eps : 99.6%
n_episode : 11, Total Frames : 513, Average Score : 107.3, Episode Score : 100.0, Best Score : 160.0, n_buffer : 513, eps : 99.5%
n_episode : 12, Total Frames : 560, Average Score : 115.0, Episode Score : 200.0, Best Score : 200.0, n_buffer : 560, eps : 99.5%
n_episode : 13, Total Frames : 614, Average Score : 115.4, Episode Score : 120.0, Best Score : 200.0, n_buffer : 614, eps : 99.4%
n_episode : 14, Total Frames : 708, Average Score : 125.0, Episode Score : 250.0, Best Score : 250.0, n_buffer : 708, eps : 99.4%
n_episode : 15, Total Frames : 725, Average Score : 120.0, Episode Score : 50.0, Best Score : 250.0, n_buffer : 725, eps : 99.3%
n_episode : 16, Total Frames : 788, Average Score : 123.1, Episode Score : 170.0, Best Score : 250.0, n_buffer : 788, eps : 99.3%
n_episode : 17, Total Frames : 832, Average Score : 126.5, Episode Score : 180.0, Best Score : 250.0, n_buffer : 832, eps : 99.2%
n_episode : 18, Total Frames : 869, Average Score : 120.0, Episode Score : 10.0, Best Score : 250.0, n_buffer : 869, eps : 99.2%
n_episode : 19, Total Frames : 918, Average Score : 118.9, Episode Score : 100.0, Best Score : 250.0, n_buffer : 918, eps : 99.1%
n_episode : 20, Total Frames : 1010, Average Score : 129.0, Episode Score : 320.0, Best Score : 320.0, n_buffer : 1010, eps : 99.1%
n_episode : 21, Total Frames : 1032, Average Score : 125.7, Episode Score : 60.0, Best Score : 320.0, n_buffer : 1032, eps : 99.0%
n_episode : 22, Total Frames : 1108, Average Score : 128.2, Episode Score : 180.0, Best Score : 320.0, n_buffer : 1108, eps : 99.0%
n_episode : 23, Total Frames : 1139, Average Score : 125.2, Episode Score : 60.0, Best Score : 320.0, n_buffer : 1139, eps : 98.9%
n_episode : 24, Total Frames : 1189, Average Score : 126.7, Episode Score : 160.0, Best Score : 320.0, n_buffer : 1189, eps : 98.9%
n_episode : 25, Total Frames : 1304, Average Score : 136.0, Episode Score : 360.0, Best Score : 360.0, n_buffer : 1304, eps : 98.8%
n_episode : 26, Total Frames : 1324, Average Score : 132.7, Episode Score : 50.0, Best Score : 360.0, n_buffer : 1324, eps : 98.7%
n_episode : 27, Total Frames : 1379, Average Score : 133.7, Episode Score : 160.0, Best Score : 360.0, n_buffer : 1379, eps : 98.7%
n_episode : 28, Total Frames : 1430, Average Score : 131.4, Episode Score : 70.0, Best Score : 360.0, n_buffer : 1430, eps : 98.6%
n_episode : 29, Total Frames : 1521, Average Score : 132.4, Episode Score : 160.0, Best Score : 360.0, n_buffer : 1521, eps : 98.6%
n_episode : 30, Total Frames : 1560, Average Score : 129.7, Episode Score : 50.0, Best Score : 360.0, n_buffer : 1560, eps : 98.5%
n_episode : 31, Total Frames : 1634, Average Score : 132.9, Episode Score : 230.0, Best Score : 360.0, n_buffer : 1634, eps : 98.5%
n_episode : 32, Total Frames : 1688, Average Score : 135.3, Episode Score : 210.0, Best Score : 360.0, n_buffer : 1688, eps : 98.4%
n_episode : 33, Total Frames : 1737, Average Score : 132.1, Episode Score : 30.0, Best Score : 360.0, n_buffer : 1737, eps : 98.3%
n_episode : 34, Total Frames : 1795, Average Score : 132.6, Episode Score : 150.0, Best Score : 360.0, n_buffer : 1795, eps : 98.3%
n_episode : 35, Total Frames : 1846, Average Score : 131.4, Episode Score : 90.0, Best Score : 360.0, n_buffer : 1846, eps : 98.2%
n_episode : 36, Total Frames : 1869, Average Score : 128.9, Episode Score : 40.0, Best Score : 360.0, n_buffer : 1869, eps : 98.2%
n_episode : 37, Total Frames : 1939, Average Score : 131.4, Episode Score : 220.0, Best Score : 360.0, n_buffer : 1939, eps : 98.2%
n_episode : 38, Total Frames : 1960, Average Score : 128.9, Episode Score : 40.0, Best Score : 360.0, n_buffer : 1960, eps : 98.1%
n_episode : 39, Total Frames : 2002, Average Score : 129.0, Episode Score : 130.0, Best Score : 360.0, n_buffer : 2002, eps : 98.1%
n_episode : 40, Total Frames : 2046, Average Score : 128.8, Episode Score : 120.0, Best Score : 360.0, n_buffer : 2046, eps : 98.0%
n_episode : 41, Total Frames : 2093, Average Score : 129.8, Episode Score : 170.0, Best Score : 360.0, n_buffer : 2093, eps : 98.0%
n_episode : 42, Total Frames : 2142, Average Score : 129.5, Episode Score : 120.0, Best Score : 360.0, n_buffer : 2142, eps : 97.9%
n_episode : 43, Total Frames : 2195, Average Score : 130.0, Episode Score : 150.0, Best Score : 360.0, n_buffer : 2195, eps : 97.9%
n_episode : 44, Total Frames : 2284, Average Score : 131.1, Episode Score : 180.0, Best Score : 360.0, n_buffer : 2284, eps : 97.9%
n_episode : 45, Total Frames : 2336, Average Score : 129.8, Episode Score : 70.0, Best Score : 360.0, n_buffer : 2336, eps : 97.8%
n_episode : 46, Total Frames : 2378, Average Score : 127.8, Episode Score : 40.0, Best Score : 360.0, n_buffer : 2378, eps : 97.7%
n_episode : 47, Total Frames : 2425, Average Score : 130.0, Episode Score : 230.0, Best Score : 360.0, n_buffer : 2425, eps : 97.7%
n_episode : 48, Total Frames : 2487, Average Score : 130.4, Episode Score : 150.0, Best Score : 360.0, n_buffer : 2487, eps : 97.6%
n_episode : 49, Total Frames : 2540, Average Score : 130.8, Episode Score : 150.0, Best Score : 360.0, n_buffer : 2540, eps : 97.6%
n_episode : 50, Total Frames : 2594, Average Score : 129.8, Episode Score : 80.0, Best Score : 360.0, n_buffer : 2594, eps : 97.5%
n_episode : 51, Total Frames : 2643, Average Score : 130.2, Episode Score : 150.0, Best Score : 360.0, n_buffer : 2643, eps : 97.5%
n_episode : 52, Total Frames : 2708, Average Score : 129.2, Episode Score : 80.0, Best Score : 360.0, n_buffer : 2708, eps : 97.4%
n_episode : 53, Total Frames : 2738, Average Score : 127.4, Episode Score : 30.0, Best Score : 360.0, n_buffer : 2738, eps : 97.4%
n_episode : 54, Total Frames : 2787, Average Score : 127.4, Episode Score : 130.0, Best Score : 360.0, n_buffer : 2787, eps : 97.3%
n_episode : 55, Total Frames : 2843, Average Score : 127.5, Episode Score : 130.0, Best Score : 360.0, n_buffer : 2843, eps : 97.3%
n_episode : 56, Total Frames : 2894, Average Score : 127.7, Episode Score : 140.0, Best Score : 360.0, n_buffer : 2894, eps : 97.2%
n_episode : 57, Total Frames : 2954, Average Score : 126.7, Episode Score : 70.0, Best Score : 360.0, n_buffer : 2954, eps : 97.2%
n_episode : 58, Total Frames : 3007, Average Score : 126.6, Episode Score : 120.0, Best Score : 360.0, n_buffer : 3007, eps : 97.1%
n_episode : 59, Total Frames : 3057, Average Score : 126.6, Episode Score : 130.0, Best Score : 360.0, n_buffer : 3057, eps : 97.1%
n_episode : 60, Total Frames : 3104, Average Score : 126.7, Episode Score : 130.0, Best Score : 360.0, n_buffer : 3104, eps : 97.0%
n_episode : 61, Total Frames : 3163, Average Score : 128.9, Episode Score : 260.0, Best Score : 360.0, n_buffer : 3163, eps : 97.0%
n_episode : 62, Total Frames : 3240, Average Score : 130.3, Episode Score : 220.0, Best Score : 360.0, n_buffer : 3240, eps : 96.9%
n_episode : 63, Total Frames : 3287, Average Score : 129.4, Episode Score : 70.0, Best Score : 360.0, n_buffer : 3287, eps : 96.8%
n_episode : 64, Total Frames : 3354, Average Score : 130.9, Episode Score : 230.0, Best Score : 360.0, n_buffer : 3354, eps : 96.8%
n_episode : 65, Total Frames : 3395, Average Score : 130.2, Episode Score : 80.0, Best Score : 360.0, n_buffer : 3395, eps : 96.7%
n_episode : 66, Total Frames : 3496, Average Score : 134.5, Episode Score : 420.0, Best Score : 420.0, n_buffer : 3496, eps : 96.7%
n_episode : 67, Total Frames : 3556, Average Score : 135.5, Episode Score : 200.0, Best Score : 420.0, n_buffer : 3556, eps : 96.6%
n_episode : 68, Total Frames : 3619, Average Score : 134.3, Episode Score : 50.0, Best Score : 420.0, n_buffer : 3619, eps : 96.5%
n_episode : 69, Total Frames : 3645, Average Score : 132.3, Episode Score : 0.0, Best Score : 420.0, n_buffer : 3645, eps : 96.5%
n_episode : 70, Total Frames : 3705, Average Score : 132.3, Episode Score : 130.0, Best Score : 420.0, n_buffer : 3705, eps : 96.5%
n_episode : 71, Total Frames : 3765, Average Score : 132.0, Episode Score : 110.0, Best Score : 420.0, n_buffer : 3765, eps : 96.4%
n_episode : 72, Total Frames : 3791, Average Score : 130.3, Episode Score : 10.0, Best Score : 420.0, n_buffer : 3791, eps : 96.3%
n_episode : 73, Total Frames : 3855, Average Score : 131.0, Episode Score : 180.0, Best Score : 420.0, n_buffer : 3855, eps : 96.3%
n_episode : 74, Total Frames : 3917, Average Score : 132.4, Episode Score : 240.0, Best Score : 420.0, n_buffer : 3917, eps : 96.3%
n_episode : 75, Total Frames : 3959, Average Score : 132.3, Episode Score : 120.0, Best Score : 420.0, n_buffer : 3959, eps : 96.2%
n_episode : 76, Total Frames : 4082, Average Score : 134.5, Episode Score : 300.0, Best Score : 420.0, n_buffer : 4082, eps : 96.2%
n_episode : 77, Total Frames : 4127, Average Score : 133.5, Episode Score : 60.0, Best Score : 420.0, n_buffer : 4127, eps : 96.0%
n_episode : 78, Total Frames : 4179, Average Score : 132.6, Episode Score : 60.0, Best Score : 420.0, n_buffer : 4179, eps : 96.0%
n_episode : 79, Total Frames : 4230, Average Score : 131.6, Episode Score : 60.0, Best Score : 420.0, n_buffer : 4230, eps : 95.9%
n_episode : 80, Total Frames : 4250, Average Score : 130.4, Episode Score : 30.0, Best Score : 420.0, n_buffer : 4250, eps : 95.9%
n_episode : 81, Total Frames : 4279, Average Score : 129.1, Episode Score : 30.0, Best Score : 420.0, n_buffer : 4279, eps : 95.9%
n_episode : 82, Total Frames : 4327, Average Score : 129.0, Episode Score : 120.0, Best Score : 420.0, n_buffer : 4327, eps : 95.9%
n_episode : 83, Total Frames : 4377, Average Score : 129.4, Episode Score : 160.0, Best Score : 420.0, n_buffer : 4377, eps : 95.8%
n_episode : 84, Total Frames : 4410, Average Score : 128.5, Episode Score : 50.0, Best Score : 420.0, n_buffer : 4410, eps : 95.8%
n_episode : 85, Total Frames : 4465, Average Score : 128.2, Episode Score : 110.0, Best Score : 420.0, n_buffer : 4465, eps : 95.7%
n_episode : 86, Total Frames : 4579, Average Score : 134.5, Episode Score : 670.0, Best Score : 670.0, n_buffer : 4579, eps : 95.7%
