n_episode : 1, Total Frames : 40, Average Score : 80.0, Episode Score : 80.0, Best Score : 80.0, n_buffer : 40, eps : 100.0%
n_episode : 2, Total Frames : 154, Average Score : 250.0, Episode Score : 420.0, Best Score : 420.0, n_buffer : 154, eps : 100.0%
n_episode : 3, Total Frames : 192, Average Score : 203.3, Episode Score : 110.0, Best Score : 420.0, n_buffer : 192, eps : 99.8%
n_episode : 4, Total Frames : 263, Average Score : 205.0, Episode Score : 210.0, Best Score : 420.0, n_buffer : 263, eps : 99.8%
n_episode : 5, Total Frames : 290, Average Score : 178.0, Episode Score : 70.0, Best Score : 420.0, n_buffer : 290, eps : 99.7%
n_episode : 6, Total Frames : 335, Average Score : 165.0, Episode Score : 100.0, Best Score : 420.0, n_buffer : 335, eps : 99.7%
n_episode : 7, Total Frames : 378, Average Score : 158.6, Episode Score : 120.0, Best Score : 420.0, n_buffer : 378, eps : 99.7%
n_episode : 8, Total Frames : 400, Average Score : 141.2, Episode Score : 20.0, Best Score : 420.0, n_buffer : 400, eps : 99.6%
n_episode : 9, Total Frames : 464, Average Score : 140.0, Episode Score : 130.0, Best Score : 420.0, n_buffer : 464, eps : 99.6%
n_episode : 10, Total Frames : 520, Average Score : 138.0, Episode Score : 120.0, Best Score : 420.0, n_buffer : 520, eps : 99.5%
n_episode : 11, Total Frames : 555, Average Score : 136.4, Episode Score : 120.0, Best Score : 420.0, n_buffer : 555, eps : 99.5%
n_episode : 12, Total Frames : 610, Average Score : 135.8, Episode Score : 130.0, Best Score : 420.0, n_buffer : 610, eps : 99.5%
n_episode : 13, Total Frames : 671, Average Score : 135.4, Episode Score : 130.0, Best Score : 420.0, n_buffer : 671, eps : 99.4%
n_episode : 14, Total Frames : 726, Average Score : 129.3, Episode Score : 50.0, Best Score : 420.0, n_buffer : 726, eps : 99.3%
n_episode : 15, Total Frames : 814, Average Score : 143.3, Episode Score : 340.0, Best Score : 420.0, n_buffer : 814, eps : 99.3%
n_episode : 16, Total Frames : 874, Average Score : 143.8, Episode Score : 150.0, Best Score : 420.0, n_buffer : 874, eps : 99.2%
n_episode : 17, Total Frames : 940, Average Score : 139.4, Episode Score : 70.0, Best Score : 420.0, n_buffer : 940, eps : 99.1%
n_episode : 18, Total Frames : 1016, Average Score : 139.4, Episode Score : 140.0, Best Score : 420.0, n_buffer : 1016, eps : 99.1%
n_episode : 19, Total Frames : 1074, Average Score : 136.8, Episode Score : 90.0, Best Score : 420.0, n_buffer : 1074, eps : 99.0%
n_episode : 20, Total Frames : 1115, Average Score : 135.5, Episode Score : 110.0, Best Score : 420.0, n_buffer : 1115, eps : 98.9%
n_episode : 21, Total Frames : 1141, Average Score : 131.4, Episode Score : 50.0, Best Score : 420.0, n_buffer : 1141, eps : 98.9%
n_episode : 22, Total Frames : 1204, Average Score : 131.4, Episode Score : 130.0, Best Score : 420.0, n_buffer : 1204, eps : 98.9%
n_episode : 23, Total Frames : 1254, Average Score : 127.0, Episode Score : 30.0, Best Score : 420.0, n_buffer : 1254, eps : 98.8%
n_episode : 24, Total Frames : 1320, Average Score : 127.1, Episode Score : 130.0, Best Score : 420.0, n_buffer : 1320, eps : 98.8%
n_episode : 25, Total Frames : 1389, Average Score : 129.2, Episode Score : 180.0, Best Score : 420.0, n_buffer : 1389, eps : 98.7%
n_episode : 26, Total Frames : 1454, Average Score : 130.8, Episode Score : 170.0, Best Score : 420.0, n_buffer : 1454, eps : 98.6%
n_episode : 27, Total Frames : 1486, Average Score : 127.0, Episode Score : 30.0, Best Score : 420.0, n_buffer : 1486, eps : 98.6%
n_episode : 28, Total Frames : 1522, Average Score : 125.0, Episode Score : 70.0, Best Score : 420.0, n_buffer : 1522, eps : 98.5%
n_episode : 29, Total Frames : 1572, Average Score : 126.6, Episode Score : 170.0, Best Score : 420.0, n_buffer : 1572, eps : 98.5%
n_episode : 30, Total Frames : 1588, Average Score : 122.3, Episode Score : 0.0, Best Score : 420.0, n_buffer : 1588, eps : 98.5%
n_episode : 31, Total Frames : 1628, Average Score : 121.0, Episode Score : 80.0, Best Score : 420.0, n_buffer : 1628, eps : 98.4%
n_episode : 32, Total Frames : 1736, Average Score : 126.9, Episode Score : 310.0, Best Score : 420.0, n_buffer : 1736, eps : 98.4%
n_episode : 33, Total Frames : 1768, Average Score : 123.3, Episode Score : 10.0, Best Score : 420.0, n_buffer : 1768, eps : 98.3%
n_episode : 34, Total Frames : 1843, Average Score : 127.4, Episode Score : 260.0, Best Score : 420.0, n_buffer : 1843, eps : 98.3%
n_episode : 35, Total Frames : 1892, Average Score : 127.4, Episode Score : 130.0, Best Score : 420.0, n_buffer : 1892, eps : 98.2%
n_episode : 36, Total Frames : 1924, Average Score : 125.6, Episode Score : 60.0, Best Score : 420.0, n_buffer : 1924, eps : 98.1%
n_episode : 37, Total Frames : 1961, Average Score : 124.1, Episode Score : 70.0, Best Score : 420.0, n_buffer : 1961, eps : 98.1%
n_episode : 38, Total Frames : 2008, Average Score : 124.7, Episode Score : 150.0, Best Score : 420.0, n_buffer : 2008, eps : 98.1%
n_episode : 39, Total Frames : 2053, Average Score : 123.1, Episode Score : 60.0, Best Score : 420.0, n_buffer : 2053, eps : 98.0%
n_episode : 40, Total Frames : 2108, Average Score : 122.8, Episode Score : 110.0, Best Score : 420.0, n_buffer : 2108, eps : 98.0%
n_episode : 41, Total Frames : 2166, Average Score : 122.2, Episode Score : 100.0, Best Score : 420.0, n_buffer : 2166, eps : 97.9%
n_episode : 42, Total Frames : 2214, Average Score : 120.7, Episode Score : 60.0, Best Score : 420.0, n_buffer : 2214, eps : 97.9%
n_episode : 43, Total Frames : 2251, Average Score : 120.0, Episode Score : 90.0, Best Score : 420.0, n_buffer : 2251, eps : 97.8%
n_episode : 44, Total Frames : 2287, Average Score : 118.4, Episode Score : 50.0, Best Score : 420.0, n_buffer : 2287, eps : 97.8%
n_episode : 45, Total Frames : 2323, Average Score : 116.9, Episode Score : 50.0, Best Score : 420.0, n_buffer : 2323, eps : 97.8%
n_episode : 46, Total Frames : 2376, Average Score : 116.7, Episode Score : 110.0, Best Score : 420.0, n_buffer : 2376, eps : 97.7%
n_episode : 47, Total Frames : 2414, Average Score : 116.8, Episode Score : 120.0, Best Score : 420.0, n_buffer : 2414, eps : 97.7%
n_episode : 48, Total Frames : 2451, Average Score : 115.4, Episode Score : 50.0, Best Score : 420.0, n_buffer : 2451, eps : 97.6%
n_episode : 49, Total Frames : 2511, Average Score : 116.3, Episode Score : 160.0, Best Score : 420.0, n_buffer : 2511, eps : 97.6%
n_episode : 50, Total Frames : 2571, Average Score : 117.4, Episode Score : 170.0, Best Score : 420.0, n_buffer : 2571, eps : 97.5%
n_episode : 51, Total Frames : 2619, Average Score : 116.9, Episode Score : 90.0, Best Score : 420.0, n_buffer : 2619, eps : 97.5%
n_episode : 52, Total Frames : 2657, Average Score : 116.2, Episode Score : 80.0, Best Score : 420.0, n_buffer : 2657, eps : 97.4%
n_episode : 53, Total Frames : 2707, Average Score : 115.8, Episode Score : 100.0, Best Score : 420.0, n_buffer : 2707, eps : 97.4%
n_episode : 54, Total Frames : 2820, Average Score : 118.9, Episode Score : 280.0, Best Score : 420.0, n_buffer : 2820, eps : 97.4%
n_episode : 55, Total Frames : 2878, Average Score : 119.8, Episode Score : 170.0, Best Score : 420.0, n_buffer : 2878, eps : 97.2%
n_episode : 56, Total Frames : 3001, Average Score : 128.0, Episode Score : 580.0, Best Score : 580.0, n_buffer : 3001, eps : 97.2%
n_episode : 57, Total Frames : 3041, Average Score : 126.5, Episode Score : 40.0, Best Score : 580.0, n_buffer : 3041, eps : 97.1%
n_episode : 58, Total Frames : 3105, Average Score : 126.7, Episode Score : 140.0, Best Score : 580.0, n_buffer : 3105, eps : 97.0%
n_episode : 59, Total Frames : 3137, Average Score : 126.4, Episode Score : 110.0, Best Score : 580.0, n_buffer : 3137, eps : 97.0%
n_episode : 60, Total Frames : 3183, Average Score : 126.3, Episode Score : 120.0, Best Score : 580.0, n_buffer : 3183, eps : 96.9%
n_episode : 61, Total Frames : 3215, Average Score : 125.6, Episode Score : 80.0, Best Score : 580.0, n_buffer : 3215, eps : 96.9%
n_episode : 62, Total Frames : 3268, Average Score : 126.3, Episode Score : 170.0, Best Score : 580.0, n_buffer : 3268, eps : 96.9%
n_episode : 63, Total Frames : 3316, Average Score : 126.2, Episode Score : 120.0, Best Score : 580.0, n_buffer : 3316, eps : 96.8%
