n_episode : 1, Total Frames : 818, Average Score : -21.0, Episode Score : -21.0, Best Score : -21.0, n_buffer : 818, eps : 100.0%
n_episode : 2, Total Frames : 1715, Average Score : -20.5, Episode Score : -20.0, Best Score : -20.0, n_buffer : 1715, eps : 99.2%
n_episode : 3, Total Frames : 2592, Average Score : -20.7, Episode Score : -21.0, Best Score : -20.0, n_buffer : 2592, eps : 98.3%
n_episode : 4, Total Frames : 3445, Average Score : -20.5, Episode Score : -20.0, Best Score : -20.0, n_buffer : 3445, eps : 97.5%
n_episode : 5, Total Frames : 4332, Average Score : -20.4, Episode Score : -20.0, Best Score : -20.0, n_buffer : 4332, eps : 96.6%
n_episode : 6, Total Frames : 5199, Average Score : -20.5, Episode Score : -21.0, Best Score : -20.0, n_buffer : 5199, eps : 95.8%
n_episode : 7, Total Frames : 6020, Average Score : -20.6, Episode Score : -21.0, Best Score : -20.0, n_buffer : 6020, eps : 95.0%
n_episode : 8, Total Frames : 6953, Average Score : -20.6, Episode Score : -21.0, Best Score : -20.0, n_buffer : 6953, eps : 94.2%
n_episode : 9, Total Frames : 8073, Average Score : -20.6, Episode Score : -20.0, Best Score : -20.0, n_buffer : 8073, eps : 93.4%
n_episode : 10, Total Frames : 9049, Average Score : -20.5, Episode Score : -20.0, Best Score : -20.0, n_buffer : 9049, eps : 92.3%
n_episode : 11, Total Frames : 10024, Average Score : -20.5, Episode Score : -20.0, Best Score : -20.0, n_buffer : 10024, eps : 91.4%
n_episode : 12, Total Frames : 11235, Average Score : -20.4, Episode Score : -20.0, Best Score : -20.0, n_buffer : 11235, eps : 90.6%
n_episode : 13, Total Frames : 12170, Average Score : -20.5, Episode Score : -21.0, Best Score : -20.0, n_buffer : 12170, eps : 89.5%
n_episode : 14, Total Frames : 12931, Average Score : -20.5, Episode Score : -21.0, Best Score : -20.0, n_buffer : 12931, eps : 88.7%
n_episode : 15, Total Frames : 13889, Average Score : -20.5, Episode Score : -20.0, Best Score : -20.0, n_buffer : 13889, eps : 88.0%
