n_episode : 1, Total Frames : 1021, Average Score : -20.0, Episode Score : -20.0, Best Score : -20.0, n_buffer : 1021, eps : 100.0%
n_episode : 2, Total Frames : 1837, Average Score : -20.5, Episode Score : -21.0, Best Score : -20.0, n_buffer : 1837, eps : 99.0%
n_episode : 3, Total Frames : 2671, Average Score : -20.7, Episode Score : -21.0, Best Score : -20.0, n_buffer : 2671, eps : 98.2%
n_episode : 4, Total Frames : 3649, Average Score : -20.5, Episode Score : -20.0, Best Score : -20.0, n_buffer : 3649, eps : 97.4%
n_episode : 5, Total Frames : 4623, Average Score : -20.2, Episode Score : -19.0, Best Score : -19.0, n_buffer : 4623, eps : 96.5%
n_episode : 6, Total Frames : 5506, Average Score : -20.3, Episode Score : -21.0, Best Score : -19.0, n_buffer : 5506, eps : 95.5%
n_episode : 7, Total Frames : 6457, Average Score : -20.4, Episode Score : -21.0, Best Score : -19.0, n_buffer : 6457, eps : 94.7%
n_episode : 8, Total Frames : 7576, Average Score : -20.2, Episode Score : -19.0, Best Score : -19.0, n_buffer : 7576, eps : 93.8%
n_episode : 9, Total Frames : 8499, Average Score : -20.2, Episode Score : -20.0, Best Score : -19.0, n_buffer : 8499, eps : 92.8%
n_episode : 10, Total Frames : 9637, Average Score : -20.0, Episode Score : -18.0, Best Score : -18.0, n_buffer : 9637, eps : 91.9%
n_episode : 11, Total Frames : 10542, Average Score : -20.1, Episode Score : -21.0, Best Score : -18.0, n_buffer : 10542, eps : 90.9%
n_episode : 12, Total Frames : 11427, Average Score : -20.1, Episode Score : -20.0, Best Score : -18.0, n_buffer : 11427, eps : 90.1%
n_episode : 13, Total Frames : 12295, Average Score : -20.1, Episode Score : -20.0, Best Score : -18.0, n_buffer : 12295, eps : 89.3%
n_episode : 14, Total Frames : 13631, Average Score : -20.0, Episode Score : -19.0, Best Score : -18.0, n_buffer : 13631, eps : 88.5%
n_episode : 15, Total Frames : 14526, Average Score : -20.1, Episode Score : -21.0, Best Score : -18.0, n_buffer : 14526, eps : 87.4%
n_episode : 16, Total Frames : 15485, Average Score : -20.1, Episode Score : -21.0, Best Score : -18.0, n_buffer : 15485, eps : 86.6%
n_episode : 17, Total Frames : 16350, Average Score : -20.1, Episode Score : -20.0, Best Score : -18.0, n_buffer : 16350, eps : 85.8%
n_episode : 18, Total Frames : 17248, Average Score : -20.1, Episode Score : -20.0, Best Score : -18.0, n_buffer : 17248, eps : 85.1%
n_episode : 19, Total Frames : 18216, Average Score : -20.2, Episode Score : -21.0, Best Score : -18.0, n_buffer : 18216, eps : 84.3%
n_episode : 20, Total Frames : 19034, Average Score : -20.2, Episode Score : -21.0, Best Score : -18.0, n_buffer : 19034, eps : 83.5%
n_episode : 21, Total Frames : 20182, Average Score : -20.2, Episode Score : -21.0, Best Score : -18.0, n_buffer : 20182, eps : 82.8%
n_episode : 22, Total Frames : 21017, Average Score : -20.2, Episode Score : -20.0, Best Score : -18.0, n_buffer : 21017, eps : 81.9%
n_episode : 23, Total Frames : 21803, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 21803, eps : 81.2%
n_episode : 24, Total Frames : 22759, Average Score : -20.2, Episode Score : -20.0, Best Score : -18.0, n_buffer : 22759, eps : 80.6%
n_episode : 25, Total Frames : 23694, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 23694, eps : 79.8%
n_episode : 26, Total Frames : 24630, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 24630, eps : 79.1%
n_episode : 27, Total Frames : 25546, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 25546, eps : 78.4%
n_episode : 28, Total Frames : 26446, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 26446, eps : 77.7%
n_episode : 29, Total Frames : 27356, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 27356, eps : 77.0%
n_episode : 30, Total Frames : 28237, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 28237, eps : 76.3%
n_episode : 31, Total Frames : 29158, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 29158, eps : 75.6%
n_episode : 32, Total Frames : 29991, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 29991, eps : 75.0%
n_episode : 33, Total Frames : 31292, Average Score : -20.3, Episode Score : -19.0, Best Score : -18.0, n_buffer : 31292, eps : 74.3%
n_episode : 34, Total Frames : 32082, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 32082, eps : 73.4%
n_episode : 35, Total Frames : 32915, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 32915, eps : 72.8%
n_episode : 36, Total Frames : 33910, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 33910, eps : 72.2%
n_episode : 37, Total Frames : 34684, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 34684, eps : 71.5%
n_episode : 38, Total Frames : 35674, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 35674, eps : 71.0%
n_episode : 39, Total Frames : 36490, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 36490, eps : 70.3%
n_episode : 40, Total Frames : 37569, Average Score : -20.3, Episode Score : -19.0, Best Score : -18.0, n_buffer : 37569, eps : 69.7%
n_episode : 41, Total Frames : 38587, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 38587, eps : 69.0%
n_episode : 42, Total Frames : 39525, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 39525, eps : 68.3%
