n_episode : 1, Total Frames : 758, Average Score : -21.0, Episode Score : -21.0, Best Score : -21.0, n_buffer : 758, eps : 100.0%
n_episode : 2, Total Frames : 1588, Average Score : -20.5, Episode Score : -20.0, Best Score : -20.0, n_buffer : 1588, eps : 99.3%
n_episode : 3, Total Frames : 2349, Average Score : -20.7, Episode Score : -21.0, Best Score : -20.0, n_buffer : 2349, eps : 98.4%
n_episode : 4, Total Frames : 3407, Average Score : -20.2, Episode Score : -19.0, Best Score : -19.0, n_buffer : 3407, eps : 97.7%
n_episode : 5, Total Frames : 4296, Average Score : -20.2, Episode Score : -20.0, Best Score : -19.0, n_buffer : 4296, eps : 96.7%
n_episode : 6, Total Frames : 5052, Average Score : -20.3, Episode Score : -21.0, Best Score : -19.0, n_buffer : 5052, eps : 95.8%
n_episode : 7, Total Frames : 5991, Average Score : -20.4, Episode Score : -21.0, Best Score : -19.0, n_buffer : 5991, eps : 95.1%
n_episode : 8, Total Frames : 6812, Average Score : -20.5, Episode Score : -21.0, Best Score : -19.0, n_buffer : 6812, eps : 94.2%
n_episode : 9, Total Frames : 7838, Average Score : -20.6, Episode Score : -21.0, Best Score : -19.0, n_buffer : 7838, eps : 93.5%
n_episode : 10, Total Frames : 8614, Average Score : -20.6, Episode Score : -21.0, Best Score : -19.0, n_buffer : 8614, eps : 92.5%
n_episode : 11, Total Frames : 9750, Average Score : -20.5, Episode Score : -20.0, Best Score : -19.0, n_buffer : 9750, eps : 91.8%
n_episode : 12, Total Frames : 10664, Average Score : -20.4, Episode Score : -19.0, Best Score : -19.0, n_buffer : 10664, eps : 90.8%
n_episode : 13, Total Frames : 11591, Average Score : -20.5, Episode Score : -21.0, Best Score : -19.0, n_buffer : 11591, eps : 90.0%
n_episode : 14, Total Frames : 12513, Average Score : -20.4, Episode Score : -20.0, Best Score : -19.0, n_buffer : 12513, eps : 89.2%
