n_episode : 1, Total Frames : 42, Average Score : 35.0, Episode Score : 35.0, Best Score : 35.0, n_buffer : 42, eps : 100.0%
n_episode : 2, Total Frames : 84, Average Score : 27.5, Episode Score : 20.0, Best Score : 35.0, n_buffer : 84, eps : 100.0%
n_episode : 3, Total Frames : 125, Average Score : 30.0, Episode Score : 35.0, Best Score : 35.0, n_buffer : 125, eps : 99.9%
n_episode : 4, Total Frames : 170, Average Score : 30.0, Episode Score : 30.0, Best Score : 35.0, n_buffer : 170, eps : 99.9%
n_episode : 5, Total Frames : 189, Average Score : 33.0, Episode Score : 45.0, Best Score : 45.0, n_buffer : 189, eps : 99.8%
n_episode : 6, Total Frames : 211, Average Score : 27.5, Episode Score : 0.0, Best Score : 45.0, n_buffer : 211, eps : 99.8%
n_episode : 7, Total Frames : 275, Average Score : 26.4, Episode Score : 20.0, Best Score : 45.0, n_buffer : 275, eps : 99.8%
n_episode : 8, Total Frames : 360, Average Score : 29.4, Episode Score : 50.0, Best Score : 50.0, n_buffer : 360, eps : 99.7%
n_episode : 9, Total Frames : 401, Average Score : 28.9, Episode Score : 25.0, Best Score : 50.0, n_buffer : 401, eps : 99.6%
n_episode : 10, Total Frames : 447, Average Score : 31.0, Episode Score : 50.0, Best Score : 50.0, n_buffer : 447, eps : 99.6%
n_episode : 11, Total Frames : 533, Average Score : 37.7, Episode Score : 105.0, Best Score : 105.0, n_buffer : 533, eps : 99.6%
n_episode : 12, Total Frames : 572, Average Score : 39.2, Episode Score : 55.0, Best Score : 105.0, n_buffer : 572, eps : 99.5%
n_episode : 13, Total Frames : 638, Average Score : 39.6, Episode Score : 45.0, Best Score : 105.0, n_buffer : 638, eps : 99.4%
n_episode : 14, Total Frames : 663, Average Score : 36.8, Episode Score : 0.0, Best Score : 105.0, n_buffer : 663, eps : 99.4%
n_episode : 15, Total Frames : 704, Average Score : 35.7, Episode Score : 20.0, Best Score : 105.0, n_buffer : 704, eps : 99.3%
n_episode : 16, Total Frames : 904, Average Score : 44.4, Episode Score : 175.0, Best Score : 175.0, n_buffer : 904, eps : 99.3%
n_episode : 17, Total Frames : 946, Average Score : 41.8, Episode Score : 0.0, Best Score : 175.0, n_buffer : 946, eps : 99.1%
n_episode : 18, Total Frames : 970, Average Score : 39.7, Episode Score : 5.0, Best Score : 175.0, n_buffer : 970, eps : 99.1%
n_episode : 19, Total Frames : 1041, Average Score : 41.6, Episode Score : 75.0, Best Score : 175.0, n_buffer : 1041, eps : 99.0%
n_episode : 20, Total Frames : 1081, Average Score : 40.0, Episode Score : 10.0, Best Score : 175.0, n_buffer : 1081, eps : 99.0%
n_episode : 21, Total Frames : 1120, Average Score : 40.5, Episode Score : 50.0, Best Score : 175.0, n_buffer : 1120, eps : 98.9%
n_episode : 22, Total Frames : 1161, Average Score : 39.1, Episode Score : 10.0, Best Score : 175.0, n_buffer : 1161, eps : 98.9%
n_episode : 23, Total Frames : 1181, Average Score : 37.4, Episode Score : 0.0, Best Score : 175.0, n_buffer : 1181, eps : 98.9%
n_episode : 24, Total Frames : 1203, Average Score : 35.8, Episode Score : 0.0, Best Score : 175.0, n_buffer : 1203, eps : 98.8%
n_episode : 25, Total Frames : 1240, Average Score : 34.6, Episode Score : 5.0, Best Score : 175.0, n_buffer : 1240, eps : 98.8%
n_episode : 26, Total Frames : 1286, Average Score : 35.0, Episode Score : 45.0, Best Score : 175.0, n_buffer : 1286, eps : 98.8%
n_episode : 27, Total Frames : 1357, Average Score : 35.4, Episode Score : 45.0, Best Score : 175.0, n_buffer : 1357, eps : 98.7%
n_episode : 28, Total Frames : 1395, Average Score : 34.1, Episode Score : 0.0, Best Score : 175.0, n_buffer : 1395, eps : 98.7%
n_episode : 29, Total Frames : 1420, Average Score : 33.8, Episode Score : 25.0, Best Score : 175.0, n_buffer : 1420, eps : 98.6%
n_episode : 30, Total Frames : 1496, Average Score : 36.2, Episode Score : 105.0, Best Score : 175.0, n_buffer : 1496, eps : 98.6%
n_episode : 31, Total Frames : 1555, Average Score : 38.2, Episode Score : 100.0, Best Score : 175.0, n_buffer : 1555, eps : 98.5%
n_episode : 32, Total Frames : 1577, Average Score : 37.0, Episode Score : 0.0, Best Score : 175.0, n_buffer : 1577, eps : 98.5%
n_episode : 33, Total Frames : 1614, Average Score : 35.9, Episode Score : 0.0, Best Score : 175.0, n_buffer : 1614, eps : 98.5%
n_episode : 34, Total Frames : 1699, Average Score : 37.4, Episode Score : 85.0, Best Score : 175.0, n_buffer : 1699, eps : 98.4%
n_episode : 35, Total Frames : 1762, Average Score : 37.0, Episode Score : 25.0, Best Score : 175.0, n_buffer : 1762, eps : 98.3%
n_episode : 36, Total Frames : 1817, Average Score : 36.8, Episode Score : 30.0, Best Score : 175.0, n_buffer : 1817, eps : 98.3%
n_episode : 37, Total Frames : 1841, Average Score : 35.9, Episode Score : 5.0, Best Score : 175.0, n_buffer : 1841, eps : 98.2%
n_episode : 38, Total Frames : 1919, Average Score : 37.9, Episode Score : 110.0, Best Score : 175.0, n_buffer : 1919, eps : 98.2%
n_episode : 39, Total Frames : 1952, Average Score : 36.9, Episode Score : 0.0, Best Score : 175.0, n_buffer : 1952, eps : 98.1%
n_episode : 40, Total Frames : 2007, Average Score : 36.5, Episode Score : 20.0, Best Score : 175.0, n_buffer : 2007, eps : 98.1%
n_episode : 41, Total Frames : 2097, Average Score : 36.3, Episode Score : 30.0, Best Score : 175.0, n_buffer : 2097, eps : 98.0%
n_episode : 42, Total Frames : 2158, Average Score : 36.8, Episode Score : 55.0, Best Score : 175.0, n_buffer : 2158, eps : 97.9%
n_episode : 43, Total Frames : 2201, Average Score : 36.0, Episode Score : 5.0, Best Score : 175.0, n_buffer : 2201, eps : 97.9%
n_episode : 44, Total Frames : 2220, Average Score : 35.9, Episode Score : 30.0, Best Score : 175.0, n_buffer : 2220, eps : 97.8%
n_episode : 45, Total Frames : 2237, Average Score : 35.1, Episode Score : 0.0, Best Score : 175.0, n_buffer : 2237, eps : 97.8%
n_episode : 46, Total Frames : 2269, Average Score : 34.3, Episode Score : 0.0, Best Score : 175.0, n_buffer : 2269, eps : 97.8%
n_episode : 47, Total Frames : 2315, Average Score : 35.0, Episode Score : 65.0, Best Score : 175.0, n_buffer : 2315, eps : 97.8%
n_episode : 48, Total Frames : 2356, Average Score : 35.5, Episode Score : 60.0, Best Score : 175.0, n_buffer : 2356, eps : 97.7%
n_episode : 49, Total Frames : 2385, Average Score : 34.8, Episode Score : 0.0, Best Score : 175.0, n_buffer : 2385, eps : 97.7%
n_episode : 50, Total Frames : 2462, Average Score : 37.4, Episode Score : 165.0, Best Score : 175.0, n_buffer : 2462, eps : 97.7%
n_episode : 51, Total Frames : 2517, Average Score : 36.7, Episode Score : 0.0, Best Score : 175.0, n_buffer : 2517, eps : 97.6%
n_episode : 52, Total Frames : 2562, Average Score : 36.3, Episode Score : 20.0, Best Score : 175.0, n_buffer : 2562, eps : 97.5%
n_episode : 53, Total Frames : 2581, Average Score : 35.9, Episode Score : 15.0, Best Score : 175.0, n_buffer : 2581, eps : 97.5%
n_episode : 54, Total Frames : 2624, Average Score : 35.6, Episode Score : 15.0, Best Score : 175.0, n_buffer : 2624, eps : 97.5%
n_episode : 55, Total Frames : 2653, Average Score : 35.0, Episode Score : 5.0, Best Score : 175.0, n_buffer : 2653, eps : 97.4%
n_episode : 56, Total Frames : 2686, Average Score : 34.9, Episode Score : 30.0, Best Score : 175.0, n_buffer : 2686, eps : 97.4%
n_episode : 57, Total Frames : 2709, Average Score : 35.2, Episode Score : 50.0, Best Score : 175.0, n_buffer : 2709, eps : 97.4%
n_episode : 58, Total Frames : 2781, Average Score : 35.0, Episode Score : 25.0, Best Score : 175.0, n_buffer : 2781, eps : 97.4%
n_episode : 59, Total Frames : 2841, Average Score : 35.2, Episode Score : 45.0, Best Score : 175.0, n_buffer : 2841, eps : 97.3%
n_episode : 60, Total Frames : 2874, Average Score : 36.1, Episode Score : 90.0, Best Score : 175.0, n_buffer : 2874, eps : 97.2%
n_episode : 61, Total Frames : 2933, Average Score : 36.3, Episode Score : 50.0, Best Score : 175.0, n_buffer : 2933, eps : 97.2%
n_episode : 62, Total Frames : 3013, Average Score : 36.9, Episode Score : 75.0, Best Score : 175.0, n_buffer : 3013, eps : 97.1%
n_episode : 63, Total Frames : 3038, Average Score : 36.3, Episode Score : 0.0, Best Score : 175.0, n_buffer : 3038, eps : 97.1%
n_episode : 64, Total Frames : 3092, Average Score : 36.0, Episode Score : 15.0, Best Score : 175.0, n_buffer : 3092, eps : 97.0%
n_episode : 65, Total Frames : 3109, Average Score : 35.7, Episode Score : 15.0, Best Score : 175.0, n_buffer : 3109, eps : 97.0%
n_episode : 66, Total Frames : 3195, Average Score : 35.5, Episode Score : 20.0, Best Score : 175.0, n_buffer : 3195, eps : 97.0%
n_episode : 67, Total Frames : 3239, Average Score : 35.4, Episode Score : 30.0, Best Score : 175.0, n_buffer : 3239, eps : 96.9%
n_episode : 68, Total Frames : 3250, Average Score : 34.9, Episode Score : 0.0, Best Score : 175.0, n_buffer : 3250, eps : 96.8%
n_episode : 69, Total Frames : 3279, Average Score : 34.8, Episode Score : 30.0, Best Score : 175.0, n_buffer : 3279, eps : 96.8%
n_episode : 70, Total Frames : 3319, Average Score : 34.4, Episode Score : 10.0, Best Score : 175.0, n_buffer : 3319, eps : 96.8%
n_episode : 71, Total Frames : 3334, Average Score : 34.0, Episode Score : 5.0, Best Score : 175.0, n_buffer : 3334, eps : 96.8%
n_episode : 72, Total Frames : 3421, Average Score : 34.8, Episode Score : 90.0, Best Score : 175.0, n_buffer : 3421, eps : 96.8%
n_episode : 73, Total Frames : 3475, Average Score : 35.1, Episode Score : 55.0, Best Score : 175.0, n_buffer : 3475, eps : 96.7%
n_episode : 74, Total Frames : 3519, Average Score : 34.9, Episode Score : 25.0, Best Score : 175.0, n_buffer : 3519, eps : 96.6%
n_episode : 75, Total Frames : 3583, Average Score : 35.4, Episode Score : 70.0, Best Score : 175.0, n_buffer : 3583, eps : 96.6%
n_episode : 76, Total Frames : 3677, Average Score : 35.5, Episode Score : 40.0, Best Score : 175.0, n_buffer : 3677, eps : 96.5%
n_episode : 77, Total Frames : 3715, Average Score : 35.3, Episode Score : 20.0, Best Score : 175.0, n_buffer : 3715, eps : 96.4%
n_episode : 78, Total Frames : 3731, Average Score : 35.5, Episode Score : 55.0, Best Score : 175.0, n_buffer : 3731, eps : 96.4%
n_episode : 79, Total Frames : 3777, Average Score : 35.6, Episode Score : 40.0, Best Score : 175.0, n_buffer : 3777, eps : 96.4%
n_episode : 80, Total Frames : 3806, Average Score : 35.3, Episode Score : 15.0, Best Score : 175.0, n_buffer : 3806, eps : 96.3%
n_episode : 81, Total Frames : 3846, Average Score : 34.9, Episode Score : 5.0, Best Score : 175.0, n_buffer : 3846, eps : 96.3%
n_episode : 82, Total Frames : 3897, Average Score : 34.9, Episode Score : 30.0, Best Score : 175.0, n_buffer : 3897, eps : 96.3%
n_episode : 83, Total Frames : 3911, Average Score : 34.8, Episode Score : 25.0, Best Score : 175.0, n_buffer : 3911, eps : 96.2%
n_episode : 84, Total Frames : 4051, Average Score : 39.0, Episode Score : 390.0, Best Score : 390.0, n_buffer : 4051, eps : 96.2%
n_episode : 85, Total Frames : 4099, Average Score : 38.7, Episode Score : 15.0, Best Score : 390.0, n_buffer : 4099, eps : 96.1%
n_episode : 86, Total Frames : 4116, Average Score : 38.4, Episode Score : 15.0, Best Score : 390.0, n_buffer : 4116, eps : 96.0%
n_episode : 87, Total Frames : 4173, Average Score : 38.2, Episode Score : 20.0, Best Score : 390.0, n_buffer : 4173, eps : 96.0%
n_episode : 88, Total Frames : 4199, Average Score : 38.0, Episode Score : 15.0, Best Score : 390.0, n_buffer : 4199, eps : 96.0%
n_episode : 89, Total Frames : 4239, Average Score : 38.1, Episode Score : 50.0, Best Score : 390.0, n_buffer : 4239, eps : 95.9%
