n_episode : 1, Total Frames : 29, Average Score : 5.0, Episode Score : 5.0, Best Score : 5.0, n_buffer : 29, eps : 100.0%
n_episode : 2, Total Frames : 104, Average Score : 27.5, Episode Score : 50.0, Best Score : 50.0, n_buffer : 104, eps : 100.0%
n_episode : 3, Total Frames : 223, Average Score : 58.3, Episode Score : 120.0, Best Score : 120.0, n_buffer : 223, eps : 99.9%
n_episode : 4, Total Frames : 276, Average Score : 51.2, Episode Score : 30.0, Best Score : 120.0, n_buffer : 276, eps : 99.8%
n_episode : 5, Total Frames : 296, Average Score : 46.0, Episode Score : 25.0, Best Score : 120.0, n_buffer : 296, eps : 99.7%
n_episode : 6, Total Frames : 373, Average Score : 53.3, Episode Score : 90.0, Best Score : 120.0, n_buffer : 373, eps : 99.7%
n_episode : 7, Total Frames : 423, Average Score : 45.7, Episode Score : 0.0, Best Score : 120.0, n_buffer : 423, eps : 99.6%
n_episode : 8, Total Frames : 439, Average Score : 40.0, Episode Score : 0.0, Best Score : 120.0, n_buffer : 439, eps : 99.6%
n_episode : 9, Total Frames : 459, Average Score : 36.7, Episode Score : 10.0, Best Score : 120.0, n_buffer : 459, eps : 99.6%
n_episode : 10, Total Frames : 515, Average Score : 34.5, Episode Score : 15.0, Best Score : 120.0, n_buffer : 515, eps : 99.5%
n_episode : 11, Total Frames : 530, Average Score : 31.4, Episode Score : 0.0, Best Score : 120.0, n_buffer : 530, eps : 99.5%
n_episode : 12, Total Frames : 586, Average Score : 35.8, Episode Score : 85.0, Best Score : 120.0, n_buffer : 586, eps : 99.5%
n_episode : 13, Total Frames : 688, Average Score : 42.3, Episode Score : 120.0, Best Score : 120.0, n_buffer : 688, eps : 99.4%
n_episode : 14, Total Frames : 730, Average Score : 41.8, Episode Score : 35.0, Best Score : 120.0, n_buffer : 730, eps : 99.3%
n_episode : 15, Total Frames : 782, Average Score : 42.7, Episode Score : 55.0, Best Score : 120.0, n_buffer : 782, eps : 99.3%
n_episode : 16, Total Frames : 818, Average Score : 42.8, Episode Score : 45.0, Best Score : 120.0, n_buffer : 818, eps : 99.2%
n_episode : 17, Total Frames : 838, Average Score : 41.8, Episode Score : 25.0, Best Score : 120.0, n_buffer : 838, eps : 99.2%
n_episode : 18, Total Frames : 893, Average Score : 41.9, Episode Score : 45.0, Best Score : 120.0, n_buffer : 893, eps : 99.2%
n_episode : 19, Total Frames : 927, Average Score : 39.7, Episode Score : 0.0, Best Score : 120.0, n_buffer : 927, eps : 99.1%
n_episode : 20, Total Frames : 956, Average Score : 39.2, Episode Score : 30.0, Best Score : 120.0, n_buffer : 956, eps : 99.1%
n_episode : 21, Total Frames : 979, Average Score : 38.3, Episode Score : 20.0, Best Score : 120.0, n_buffer : 979, eps : 99.1%
n_episode : 22, Total Frames : 1028, Average Score : 37.7, Episode Score : 25.0, Best Score : 120.0, n_buffer : 1028, eps : 99.0%
n_episode : 23, Total Frames : 1065, Average Score : 36.5, Episode Score : 10.0, Best Score : 120.0, n_buffer : 1065, eps : 99.0%
n_episode : 24, Total Frames : 1083, Average Score : 35.0, Episode Score : 0.0, Best Score : 120.0, n_buffer : 1083, eps : 99.0%
n_episode : 25, Total Frames : 1134, Average Score : 35.8, Episode Score : 55.0, Best Score : 120.0, n_buffer : 1134, eps : 98.9%
n_episode : 26, Total Frames : 1148, Average Score : 35.4, Episode Score : 25.0, Best Score : 120.0, n_buffer : 1148, eps : 98.9%
n_episode : 27, Total Frames : 1169, Average Score : 34.1, Episode Score : 0.0, Best Score : 120.0, n_buffer : 1169, eps : 98.9%
n_episode : 28, Total Frames : 1216, Average Score : 34.3, Episode Score : 40.0, Best Score : 120.0, n_buffer : 1216, eps : 98.8%
n_episode : 29, Total Frames : 1232, Average Score : 33.3, Episode Score : 5.0, Best Score : 120.0, n_buffer : 1232, eps : 98.8%
n_episode : 30, Total Frames : 1262, Average Score : 33.3, Episode Score : 35.0, Best Score : 120.0, n_buffer : 1262, eps : 98.8%
n_episode : 31, Total Frames : 1289, Average Score : 32.3, Episode Score : 0.0, Best Score : 120.0, n_buffer : 1289, eps : 98.8%
n_episode : 32, Total Frames : 1329, Average Score : 32.7, Episode Score : 45.0, Best Score : 120.0, n_buffer : 1329, eps : 98.7%
n_episode : 33, Total Frames : 1473, Average Score : 42.0, Episode Score : 340.0, Best Score : 340.0, n_buffer : 1473, eps : 98.7%
n_episode : 34, Total Frames : 1505, Average Score : 40.9, Episode Score : 5.0, Best Score : 340.0, n_buffer : 1505, eps : 98.6%
n_episode : 35, Total Frames : 1604, Average Score : 41.4, Episode Score : 60.0, Best Score : 340.0, n_buffer : 1604, eps : 98.5%
n_episode : 36, Total Frames : 1624, Average Score : 40.7, Episode Score : 15.0, Best Score : 340.0, n_buffer : 1624, eps : 98.4%
n_episode : 37, Total Frames : 1740, Average Score : 41.4, Episode Score : 65.0, Best Score : 340.0, n_buffer : 1740, eps : 98.4%
n_episode : 38, Total Frames : 1757, Average Score : 40.3, Episode Score : 0.0, Best Score : 340.0, n_buffer : 1757, eps : 98.3%
n_episode : 39, Total Frames : 1779, Average Score : 39.2, Episode Score : 0.0, Best Score : 340.0, n_buffer : 1779, eps : 98.3%
n_episode : 40, Total Frames : 1821, Average Score : 38.4, Episode Score : 5.0, Best Score : 340.0, n_buffer : 1821, eps : 98.3%
n_episode : 41, Total Frames : 1883, Average Score : 38.9, Episode Score : 60.0, Best Score : 340.0, n_buffer : 1883, eps : 98.2%
n_episode : 42, Total Frames : 1915, Average Score : 38.1, Episode Score : 5.0, Best Score : 340.0, n_buffer : 1915, eps : 98.2%
n_episode : 43, Total Frames : 1970, Average Score : 37.3, Episode Score : 5.0, Best Score : 340.0, n_buffer : 1970, eps : 98.1%
n_episode : 44, Total Frames : 1987, Average Score : 37.0, Episode Score : 25.0, Best Score : 340.0, n_buffer : 1987, eps : 98.1%
