n_episode : 1, Total Frames : 49, Average Score : 140.0, Episode Score : 140.0, Best Score : 140.0, n_buffer : 49, eps : 100.0%
n_episode : 2, Total Frames : 86, Average Score : 125.0, Episode Score : 110.0, Best Score : 140.0, n_buffer : 86, eps : 100.0%
n_episode : 3, Total Frames : 129, Average Score : 103.3, Episode Score : 60.0, Best Score : 140.0, n_buffer : 129, eps : 99.9%
n_episode : 4, Total Frames : 189, Average Score : 130.0, Episode Score : 210.0, Best Score : 210.0, n_buffer : 189, eps : 99.9%
n_episode : 5, Total Frames : 215, Average Score : 108.0, Episode Score : 20.0, Best Score : 210.0, n_buffer : 215, eps : 99.8%
n_episode : 6, Total Frames : 235, Average Score : 90.0, Episode Score : 0.0, Best Score : 210.0, n_buffer : 235, eps : 99.8%
n_episode : 7, Total Frames : 309, Average Score : 102.9, Episode Score : 180.0, Best Score : 210.0, n_buffer : 309, eps : 99.8%
n_episode : 8, Total Frames : 339, Average Score : 98.8, Episode Score : 70.0, Best Score : 210.0, n_buffer : 339, eps : 99.7%
n_episode : 9, Total Frames : 402, Average Score : 100.0, Episode Score : 110.0, Best Score : 210.0, n_buffer : 402, eps : 99.7%
n_episode : 10, Total Frames : 447, Average Score : 100.0, Episode Score : 100.0, Best Score : 210.0, n_buffer : 447, eps : 99.6%
n_episode : 11, Total Frames : 481, Average Score : 99.1, Episode Score : 90.0, Best Score : 210.0, n_buffer : 481, eps : 99.6%
n_episode : 12, Total Frames : 580, Average Score : 131.7, Episode Score : 490.0, Best Score : 490.0, n_buffer : 580, eps : 99.5%
n_episode : 13, Total Frames : 654, Average Score : 136.2, Episode Score : 190.0, Best Score : 490.0, n_buffer : 654, eps : 99.4%
n_episode : 14, Total Frames : 694, Average Score : 133.6, Episode Score : 100.0, Best Score : 490.0, n_buffer : 694, eps : 99.4%
n_episode : 15, Total Frames : 721, Average Score : 128.0, Episode Score : 50.0, Best Score : 490.0, n_buffer : 721, eps : 99.3%
n_episode : 16, Total Frames : 782, Average Score : 126.9, Episode Score : 110.0, Best Score : 490.0, n_buffer : 782, eps : 99.3%
n_episode : 17, Total Frames : 821, Average Score : 122.4, Episode Score : 50.0, Best Score : 490.0, n_buffer : 821, eps : 99.2%
n_episode : 18, Total Frames : 879, Average Score : 117.8, Episode Score : 40.0, Best Score : 490.0, n_buffer : 879, eps : 99.2%
n_episode : 19, Total Frames : 915, Average Score : 115.3, Episode Score : 70.0, Best Score : 490.0, n_buffer : 915, eps : 99.1%
n_episode : 20, Total Frames : 963, Average Score : 117.0, Episode Score : 150.0, Best Score : 490.0, n_buffer : 963, eps : 99.1%
n_episode : 21, Total Frames : 1068, Average Score : 131.9, Episode Score : 430.0, Best Score : 490.0, n_buffer : 1068, eps : 99.1%
n_episode : 22, Total Frames : 1144, Average Score : 135.5, Episode Score : 210.0, Best Score : 490.0, n_buffer : 1144, eps : 98.9%
n_episode : 23, Total Frames : 1198, Average Score : 133.0, Episode Score : 80.0, Best Score : 490.0, n_buffer : 1198, eps : 98.9%
n_episode : 24, Total Frames : 1246, Average Score : 128.8, Episode Score : 30.0, Best Score : 490.0, n_buffer : 1246, eps : 98.8%
n_episode : 25, Total Frames : 1305, Average Score : 129.2, Episode Score : 140.0, Best Score : 490.0, n_buffer : 1305, eps : 98.8%
n_episode : 26, Total Frames : 1350, Average Score : 128.8, Episode Score : 120.0, Best Score : 490.0, n_buffer : 1350, eps : 98.7%
n_episode : 27, Total Frames : 1394, Average Score : 126.3, Episode Score : 60.0, Best Score : 490.0, n_buffer : 1394, eps : 98.7%
n_episode : 28, Total Frames : 1450, Average Score : 125.0, Episode Score : 90.0, Best Score : 490.0, n_buffer : 1450, eps : 98.6%
n_episode : 29, Total Frames : 1495, Average Score : 124.5, Episode Score : 110.0, Best Score : 490.0, n_buffer : 1495, eps : 98.6%
n_episode : 30, Total Frames : 1552, Average Score : 123.0, Episode Score : 80.0, Best Score : 490.0, n_buffer : 1552, eps : 98.5%
n_episode : 31, Total Frames : 1605, Average Score : 124.5, Episode Score : 170.0, Best Score : 490.0, n_buffer : 1605, eps : 98.5%
n_episode : 32, Total Frames : 1658, Average Score : 124.7, Episode Score : 130.0, Best Score : 490.0, n_buffer : 1658, eps : 98.4%
n_episode : 33, Total Frames : 1693, Average Score : 122.1, Episode Score : 40.0, Best Score : 490.0, n_buffer : 1693, eps : 98.4%
n_episode : 34, Total Frames : 1747, Average Score : 122.1, Episode Score : 120.0, Best Score : 490.0, n_buffer : 1747, eps : 98.3%
n_episode : 35, Total Frames : 1789, Average Score : 120.9, Episode Score : 80.0, Best Score : 490.0, n_buffer : 1789, eps : 98.3%
n_episode : 36, Total Frames : 1822, Average Score : 121.1, Episode Score : 130.0, Best Score : 490.0, n_buffer : 1822, eps : 98.2%
n_episode : 37, Total Frames : 1887, Average Score : 122.7, Episode Score : 180.0, Best Score : 490.0, n_buffer : 1887, eps : 98.2%
n_episode : 38, Total Frames : 1957, Average Score : 120.8, Episode Score : 50.0, Best Score : 490.0, n_buffer : 1957, eps : 98.1%
n_episode : 39, Total Frames : 1979, Average Score : 119.0, Episode Score : 50.0, Best Score : 490.0, n_buffer : 1979, eps : 98.1%
n_episode : 40, Total Frames : 2043, Average Score : 120.5, Episode Score : 180.0, Best Score : 490.0, n_buffer : 2043, eps : 98.1%
